Systematic ORF Name	Common Gene Name	Probe bp position	Probe No.	Average WT fluorescent intensity value	Average spt6 fluorescent intensity value	Average spt6/WT ratio	Ratio of spt6/WT to Probe No. 1 spt6/WT	spt6 short transcript gene?
YAL037C-A		34	12	11.2827668153241	13.4276243301269	1.26142002371581	1.02891788911535	No
YAL037W		1	1	136.584671036849	398.361083560413	2.8176281646492	1	No
YAL037W		149	2	149.949552912242	418.315410289579	2.78769000491014	0.989374694604964	No
YAL037W		298	3	156.975991893183	401.181959418286	2.51369527713904	0.892131654799809	No
YAL037W		447	4	71.8713691972851	184.103691421466	2.57506506400003	0.913912309760232	No
YAL037W		596	5	114.757430787193	319.076705278371	2.78582027452037	0.988711111520003	No
YAL037W		745	6	103.675968334987	240.776848169335	2.34350099824784	0.831728269773175	No
YAL038W	CDC19	1	1	9570.35071406773	6068.67036523804	0.584416098414247	1	No
YAL038W	CDC19	289	2	11110.365676756	7436.10959516963	0.696942495575866	1.19254499913152	No
YAL038W	CDC19	578	3	12136.0226058571	6650.02534183021	0.499540378224682	0.854768339852604	No
YAL038W	CDC19	866	4	3749.73340590617	4145.87995724328	0.944763979666238	1.61659472117513	No
YAL038W	CDC19	1155	5	9908.15532857298	7381.95296461368	0.690459625431437	1.1814520977518	No
YAL038W	CDC19	1444	6	10356.322775545	8476.82300926229	0.850975305505046	1.45611201986749	No
YAL039C	CYC3	1	1	815.499068251271	1306.61149152108	1.48451748609083	1	No
YAL039C	CYC3	151	2	455.246838661202	927.745166625147	1.98603078068095	1.33782915950067	No
YAL039C	CYC3	301	3	489.770771981125	909.908413621284	1.85075775964644	1.24670660803062	No
YAL039C	CYC3	451	4	317.918925275986	737.993490333535	2.31665457332485	1.56054380970969	No
YAL039C	CYC3	601	5	268.307227187466	460.989289250488	1.63675135032515	1.10254770702311	No
YAL039C	CYC3	751	6	229.502407117561	552.357264801369	2.39329378905254	1.61216948367161	No
YAL040C	CLN3	1	1	427.1569134344	209.556139248692	0.47098055589762	1	No
YAL040C	CLN3	337	2	741.855303567997	389.383364647304	0.530310214978326	1.12597050629326	No
YAL040C	CLN3	674	3	1169.47846937688	919.463362071123	0.795559444617875	1.68915560240413	No
YAL040C	CLN3	1010	4	598.276383277065	557.25430828552	0.955166547069627	2.02803817505634	No
YAL040C	CLN3	1347	5	1181.08874958729	1452.55200309628	1.20948222889249	2.56800883549725	No
YAL040C	CLN3	1684	6	931.54806147471	1049.75196198549	1.02627873599724	2.1790257010532	No
YAL041W	CDC24	1	1	668.824624232399	389.751984958513	0.581957913612248	1	No
YAL041W	CDC24	502	2	504.576229950565	476.017502753143	0.92810057420543	1.59478985077229	No
YAL041W	CDC24	1003	3	284.474723244713	293.742942491339	1.05445579503345	1.81191074194417	No
YAL041W	CDC24	1504	4	503.2382543452	566.563475792536	1.02055053866602	1.75365007467877	No
YAL041W	CDC24	2005	5	1006.98210097468	1018.99425395669	1.00244609671984	1.72254053647556	No
YAL041W	CDC24	2506	6	892.551489556907	1138.2378830931	1.21471831233552	2.08729580597279	No
YAL042W	ERV46	1	1	1782.68508718681	935.634743994772	0.524374048619473	1	No
YAL042W	ERV46	238	2	1966.51425428526	1089.31100434512	0.550579439627846	1.04997461464267	No
YAL042W	ERV46	476	3	2657.18072754882	1734.88853164462	0.653846720514262	1.24690899985545	No
YAL042W	ERV46	713	4	1859.11569285367	1046.75121250799	0.596360272867774	1.13728029531175	No
YAL042W	ERV46	951	5	1218.1937442586	816.723964613047	0.652380377101123	1.24411263070446	No
YAL042W	ERV46	1189	6	3947.06786857896	2440.22966500667	0.639351223065653	1.21926556958507	No
YAL043C	PTA1	1	1	328.091045495938	295.189995448615	0.848646625439035	1	No
YAL043C	PTA1	460	2	324.103853715057	460.163394145679	1.41986945745415	1.67309857235289	No
YAL043C	PTA1	920	3	489.977895254538	819.575548357839	1.660174721353	1.95626150106251	No
YAL043C	PTA1	1379	4	595.228826432328	980.041743326403	1.6580986312491	1.95381514701871	No
YAL043C	PTA1	1839	5	510.130078741053	1095.83074190414	2.02767525031264	2.38930455802337	No
YAL043C	PTA1	2299	6	452.208327331592	1139.55315516198	2.16843326204415	2.55516630484725	No
YAL044C	GCV3	1	1	9673.3867130444	4793.14075160608	0.444863214128452	1	No
YAL044C	GCV3	91	2	4033.17785148901	2396.60770389847	0.522050329612002	1.1735075255318	No
YAL044C	GCV3	182	3	5026.76749823063	2492.52572562021	0.499663070582755	1.12318360950942	No
YAL044C	GCV3	272	4	7209.25214839694	5145.26162240037	0.600900048475982	1.35075238723262	No
YAL044C	GCV3	363	5	3827.96526789697	1957.73297947632	0.50995983663246	1.14632952430455	No
YAL044C	GCV3	454	6	5150.24931870811	2163.19723114497	0.439601622170484	0.988172562282371	No
YAL044W-A		1	1	2374.25126046509	2708.08345644826	1.11955410203193	1	No
YAL044W-A		55	2	1824.8262514189	1843.40445608842	1.01372334839634	0.905470621345125	No
YAL044W-A		110	3	1293.45472662108	1283.02100269626	0.993429362251978	0.887343774140934	No
YAL044W-A		164	4	877.655905843566	813.421012517861	0.877722847606498	0.783993239820637	No
YAL044W-A		219	5	1245.44731795121	1291.94545275564	1.0418955812204	0.930634418943593	No
YAL044W-A		274	6	1412.22409666638	1624.55369688373	1.10867430991941	0.990282030950739	No
YAL046C		1	1	1237.76247535851	2105.05111637659	1.66272385512413	1	No
YAL046C		60	2	1149.22215733323	2176.51467430286	1.82635485197607	1.09841140869404	No
YAL046C		119	3	933.601583349959	1494.6326043788	1.56093038070122	0.938779085830037	No
YAL046C		179	4	1388.32240346571	2252.25453751968	1.61525949846513	0.971453854762036	No
YAL046C		238	5	724.934546845805	1208.99862435321	1.62961540990524	0.980087826901112	No
YAL046C		298	6	2118.66791636061	3227.2384469014	1.52406231537965	0.916605791564757	No
YAL047C	SPC72	1	1	300.603383222848	165.865247966456	0.514148555797755	1	No
YAL047C	SPC72	362	2	150.395246273317	85.7740001048929	0.572406097381601	1.11330877219611	No
